timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776284274.54,174.54,0.04,62.23,0.03,94.3,0.05,2.05,0.06,10.32,0.95,2.05,0.94,10.32,0.97,5.0,0.98,152.69,0.01,0.02,0.095529,1776284273000
1776284287.182,187.182,0.03,2.93,0.02,20.0,0.04,5.0,0.05,56.75,0.95,2.05,0.94,10.32,0.96,62.23,0.97,94.3,0.01,0.01,0.095544,1776284285000
1776284314.336,214.336,0.03,0.35,0.02,20.0,0.04,5.0,0.05,2.05,0.96,5.0,0.95,56.75,0.97,2.93,0.98,20.0,0.01,0.01,0.095577,1776284312000
1776284322.322,222.322,0.02,18.97,0.01,512.6,0.04,5.0,0.05,56.75,0.96,5.0,0.95,2.05,0.97,0.35,0.98,20.0,0.02,0.01,0.095565,1776284321000
1776284323.516,223.516,0.01,480.57,,,0.04,72.7,0.05,56.75,0.96,5.0,0.95,56.75,0.98,18.97,0.99,512.6,0.03,0.02,0.095564,1776284322000
1776284339.109,239.109,0.01,192.72,,,0.02,132.69,0.03,94.3,0.96,72.7,0.95,56.75,0.99,480.57,,,0.01,0.03,0.095555,1776284332000
1776284339.325,239.325,0.01,113.3,,,0.02,132.69,0.03,94.3,0.98,132.69,0.97,94.3,0.99,192.72,,,0.01,0.01,0.095555,1776284332000
1776284340.424,240.424,0.01,31.0,,,0.02,132.69,0.03,94.3,0.98,132.69,0.97,94.3,0.99,113.3,,,0.01,0.01,0.095555,1776284332000
1776284341.977,241.977,0.01,5.67,,,0.02,132.69,0.03,94.3,0.98,132.69,0.97,94.3,0.99,24.94,,,0.01,0.01,0.095542,1776284340000
1776284342.469,242.469,,,,,0.02,132.78,0.03,99.45,0.98,132.69,0.97,94.3,0.99,0.67,,,,0.01,0.095542,1776284341000
1776284356.302,256.302,,,,,0.01,289.6,0.02,132.78,0.98,132.78,0.97,99.45,,,,,,,0.095544,1776284354000

# RESULT,winner=Down,slug=doge-updown-5m-1776284100,ticks=49
