timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776369125.901,125.901,0.2,154.22,0.19,113.5,0.21,9.0,0.22,82.06,0.79,26.0,0.78,71.06,0.8,104.22,0.81,50.0,0.01,0.01,2355.720815,1776369124000
1776369128.373,128.373,0.21,165.5,0.2,93.72,0.24,2.5,0.25,56.67,0.78,82.06,0.77,30.5,0.8,154.22,0.81,113.5,0.03,0.02,2355.797839,1776369127000
1776369129.972,129.972,0.24,47.31,0.23,40.0,0.25,31.33,0.26,136.62,0.75,31.33,0.74,40.5,0.76,14.55,0.77,22.5,0.01,0.01,2355.889775,1776369128000
1776369130.747,130.747,0.24,126.81,0.23,46.5,0.25,0.33,0.26,98.12,0.75,31.33,0.74,136.62,0.76,47.31,0.77,40.0,0.01,0.01,2355.979936,1776369129000
1776369131.717,131.717,0.25,35.0,0.24,48.31,0.26,28.0,0.27,53.0,0.74,92.12,0.73,53.0,0.75,20.67,0.76,142.81,0.01,0.01,2356.26675,1776369130000
1776369132.073,132.073,0.22,30.0,0.21,68.0,0.24,15.0,0.25,31.0,0.74,28.0,0.73,53.0,0.75,35.0,0.76,48.31,0.02,0.01,2356.270963,1776369131000
1776369132.948,132.948,0.23,10.0,0.22,10.0,0.24,1.66,0.25,10.0,0.77,10.0,0.76,37.0,0.79,162.73,0.8,94.72,0.01,0.02,2356.270963,1776369131000
1776369133.291,133.291,0.23,3.0,0.22,10.0,0.24,13.66,0.25,17.0,0.76,1.66,0.75,10.0,0.77,10.0,0.78,10.0,0.01,0.01,2356.339141,1776369132000
1776369134.325,134.325,0.23,50.0,0.22,75.0,0.26,3.07,0.27,53.0,0.76,13.66,0.75,17.0,0.77,3.0,0.78,10.0,0.03,0.01,2356.312604,1776369133000
1776369139.702,139.702,0.26,130.45,0.25,89.7,0.27,63.0,0.28,10.0,0.74,3.07,0.73,53.0,0.77,50.0,0.78,75.0,0.01,0.03,2356.36393,1776369138000
1776369140.341,140.341,0.26,163.15,0.25,100.7,0.27,42.0,0.28,10.0,0.73,63.0,0.72,10.0,0.74,130.45,0.75,89.7,0.01,0.01,2356.470213,1776369139000
1776369144.249,144.249,0.26,381.19,0.25,144.22,0.27,42.0,0.28,10.0,0.73,42.0,0.72,10.0,0.74,163.15,0.75,100.7,0.01,0.01,2356.618976,1776369142000
1776369151.894,151.894,0.26,264.33,0.25,138.22,0.27,40.0,0.28,38.0,0.73,42.0,0.72,10.0,0.74,381.19,0.75,144.22,0.01,0.01,2356.82985,1776369150000
1776369155.548,155.548,0.26,105.0,0.25,85.72,0.27,50.0,0.28,15.0,0.73,40.0,0.72,38.0,0.74,264.33,0.75,138.22,0.01,0.01,2356.800474,1776369154000
1776369157.133,157.133,0.26,86.0,0.25,125.7,0.27,70.0,0.28,10.0,0.73,50.0,0.72,15.0,0.74,105.0,0.75,85.72,0.01,0.01,2356.752966,1776369156000
1776369157.779,157.779,0.26,42.0,0.25,135.72,0.27,70.0,0.28,20.0,0.73,70.0,0.72,10.0,0.74,86.0,0.75,125.7,0.01,0.01,2356.752966,1776369156000
1776369159.349,159.349,0.26,79.21,0.25,105.72,0.27,126.5,0.28,40.5,0.73,70.0,0.72,20.0,0.74,42.0,0.75,135.72,0.01,0.01,2356.720577,1776369157000
1776369161.218,161.218,0.26,94.21,0.25,88.52,0.27,41.48,0.28,30.5,0.73,126.5,0.72,40.5,0.74,79.21,0.75,105.72,0.01,0.01,2356.752018,1776369160000
1776369161.447,161.447,0.26,137.21,0.25,99.52,0.27,14.0,0.28,20.0,0.73,41.48,0.72,30.5,0.74,94.21,0.75,88.52,0.01,0.01,2356.752018,1776369160000
