timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776391388.818,188.818,0.23,9.7,0.22,9.43,0.24,5.0,0.25,5.0,0.68,5.0,0.67,5.0,0.69,33.0,0.74,5.0,0.01,0.01,631.136013,1776391387000
1776391391.478,191.478,0.23,9.7,0.22,9.43,0.25,5.0,0.26,5.0,0.76,5.0,0.75,5.0,0.77,9.7,0.78,9.43,0.02,0.01,631.205887,1776391390000
1776391397.767,197.767,0.21,50.0,0.2,5.0,0.32,18.84,0.33,11.8,0.75,5.0,0.74,5.0,0.77,9.7,0.78,9.43,0.11,0.02,631.180466,1776391396000
1776391398.096,198.096,0.21,55.0,0.2,5.0,0.64,5.11,0.65,11.4,0.68,18.84,0.67,11.8,0.79,50.0,0.8,5.0,0.43,0.11,631.180466,1776391396000
1776391400.237,200.237,0.53,9.0,0.51,50.0,0.61,8.5,0.62,5.0,0.34,11.6,0.33,11.8,0.79,55.0,0.8,5.0,0.08,0.45,631.363706,1776391399000
1776391400.923,200.923,0.6,5.0,0.59,5.0,0.61,5.0,0.62,5.0,0.39,8.5,0.38,5.0,0.47,9.0,0.49,50.0,0.01,0.08,631.363706,1776391399000
1776391401.192,201.192,0.6,5.0,0.59,5.0,0.68,0.62,0.69,12.2,0.39,5.0,0.38,5.0,0.4,5.0,0.41,5.0,0.08,0.01,631.363706,1776391399000
1776391401.549,201.549,0.68,5.0,0.67,5.0,0.7,1.78,0.71,12.6,0.3,1.78,0.29,12.6,0.4,5.0,0.41,5.0,0.02,0.1,631.363706,1776391399000
1776391401.889,201.889,0.68,5.0,0.67,5.0,0.7,1.78,0.71,12.6,0.3,1.78,0.29,12.6,0.33,5.0,0.34,5.0,0.02,0.03,631.411915,1776391400000
1776391402.616,202.616,0.68,3.4,0.67,5.0,0.7,1.78,0.71,12.6,0.3,1.78,0.29,12.6,0.32,3.4,0.33,5.0,0.02,0.02,631.41198,1776391401000
1776391402.959,202.959,0.65,2.0,0.64,5.0,0.67,5.0,0.68,5.0,0.3,1.78,0.29,12.6,0.32,3.4,0.33,5.0,0.02,0.02,631.41198,1776391401000
1776391404.227,204.227,0.6,2.0,0.59,5.0,0.62,5.0,0.63,5.0,0.33,5.0,0.32,5.0,0.35,2.0,0.36,5.0,0.02,0.02,631.433456,1776391402000
1776391405.484,205.484,0.56,2.0,0.55,5.0,0.58,5.0,0.59,5.0,0.38,5.0,0.37,5.0,0.4,2.0,0.41,5.0,0.02,0.02,631.414052,1776391403000
